,iter-No,cost of current prediction line,coeficient of current prediction line,intercept of current prediction line
0,1,2162409672.2,45.0,90.0
1,2,1751415206.1125,40.5,81.0
2,3,1418523356.481125,36.45,72.9
3,4,1148893259.3892615,32.805,65.61
4,5,930503951.7434466,29.5245,59.049
5,6,753618576.4490724,26.57205,53.1441
6,7,610350389.969491,23.914845,47.82969
7,8,494311229.6790058,21.5233605,43.046721
8,9,400326773.5258912,19.37102445,38.7420489
9,10,324205901.3558285,17.433922005,34.86784401
10,11,262553878.48064217,15.690529804499999,31.381059608999998
11,12,212621035.17604917,14.12147682405,28.2429536481
12,13,172180197.8012059,12.709329141645,25.41865828329
13,14,139427408.65927225,11.4383962274805,22.876792454961
14,15,112901509.67282644,10.294556604732449,20.589113209464898
15,16,91419005.6904737,9.265100944259204,18.53020188851841
16,17,74021304.2417696,8.338590849833285,16.67718169966657
17,18,59931980.167620696,7.504731764849956,15.009463529699913
18,19,48522160.35693132,6.75425858836496,13.50851717672992
19,20,39282485.7307071,6.0788327295284645,12.157665459056929
20,21,31800400.7618562,5.470949456575618,10.941898913151237
21,22,25741758.267638616,4.923854510918057,9.847709021836113
22,23,20835919.54481887,4.431469059826251,8.862938119652503
23,24,16863685.707081713,3.988322153843626,7.976644307687252
24,25,13647522.273486774,3.5894899384592636,7.178979876918527
25,26,11043641.269749817,3.2305409446133373,6.461081889226675
26,27,8935587.896450326,2.9074868501520035,5.814973700304007
27,28,7229045.879832444,2.616738165136803,5.233476330273606
28,29,5847629.940551189,2.355064348623123,4.710128697246246
29,30,4729477.8144946825,2.1195579137608105,4.239115827521621
30,31,3824489.8986740885,1.9076021223847295,3.815204244769459
31,32,3092093.4625160703,1.7168419101462566,3.4336838202925133
32,33,2499431.7473190697,1.545157719131631,3.090315438263262
33,34,2019897.216291393,1.390641947218468,2.781283894436936
34,35,1631943.55861268,1.2515777524966212,2.5031555049932424
35,36,1318123.4771012575,1.126419977246959,2.252839954493918
36,37,1064309.354164506,1.013777979522263,2.027555959044526
37,38,859062.0433644895,0.9124001815700367,1.8248003631400733
38,39,693119.6375173518,0.821160163413033,1.642320326826066
39,40,558983.4130919588,0.7390441470717297,1.4780882941434594
40,41,450582.4831870999,0.6651397323645567,1.3302794647291134
41,42,363002.2006559031,0.598625759128101,1.197251518256202
42,43,292264.19542819826,0.5387631832152909,1.0775263664305819
43,44,235148.2324540658,0.4848868648937618,0.9697737297875236
44,45,189047.94157929596,0.43639817840438566,0.8727963568087713
45,46,151853.9811915821,0.3927583605639471,0.7855167211278942
46,47,121859.42097629867,0.35348252450755235,0.7069650490151047
47,48,97683.12013080737,0.3181342720567971,0.6362685441135942
48,49,78207.68008195885,0.2863208448511174,0.5726416897022348
49,50,62529.20091479111,0.2576887603660057,0.5153775207320114
50,51,49916.59733454475,0.2319198843294051,0.4638397686588102
51,52,39778.65652518881,0.2087278958964646,0.4174557917929292
52,53,31637.365751189755,0.18785510630681812,0.37571021261363624
53,54,25106.31737767183,0.1690695956761363,0.3381391913522726
54,55,19873.225633201506,0.15216263610852268,0.30432527221704536
55,56,15685.7730144518,0.13694637249767042,0.27389274499534083
56,57,12340.152918108684,0.12325173524790337,0.24650347049580673
57,58,9671.79551243049,0.11092656172311302,0.22185312344622604
58,59,7547.861398954905,0.09983390555080171,0.19966781110160342
59,60,5861.166613651062,0.08985051499572154,0.17970102999144308
60,61,4525.266499505189,0.08086546349614938,0.16173092699229877
61,62,3470.477802802251,0.07277891714653445,0.1455578342930689
62,63,2640.660314652567,0.06550102543188101,0.13100205086376202
63,64,1990.6133698130475,0.05895092288869291,0.11790184577738581
64,65,1483.9700429985896,0.05305583059982362,0.10611166119964724
65,66,1091.4941769338766,0.04775024753984126,0.09550049507968252
66,67,789.703431210957,0.04297522278585713,0.08595044557171426
67,68,559.7561623859406,0.038677700507271415,0.07735540101454283
68,69,386.5517863271708,0.03480993045654427,0.06961986091308854
69,70,258.0038622401115,0.031328937410889844,0.06265787482177969
70,71,164.45290219808297,0.028196043669800858,0.056392087339601715
71,72,98.19219718568067,0.025376439302820773,0.050752878605641545
72,73,53.08504148511156,0.022838795372538696,0.04567759074507739
73,74,24.25585919117946,0.020554915835284827,0.041109831670569655
74,75,7.841073974270577,0.018499424251756345,0.03699884850351269
75,76,0.7882651456328393,0.01664948182658071,0.03329896365316142
76,77,0.6943404717889203,0.014984533643922639,0.029969067287845277
77,78,5.675226915592707,0.013486080279530376,0.02697216055906075
